,file_name,complexity,codebert_embeddings_path,bert_embeddings_path,train_or_test
0,datasets/java/707.java,3,./embeddings-codebert/datasets__java__707.java.pth,./embeddings-bert/datasets__java__707.java.pth,train
1,datasets/java/428.java,2,./embeddings-codebert/datasets__java__428.java.pth,./embeddings-bert/datasets__java__428.java.pth,train
2,datasets/java/1109.java,0,./embeddings-codebert/datasets__java__1109.java.pth,./embeddings-bert/datasets__java__1109.java.pth,train
3,datasets/java/508.java,2,./embeddings-codebert/datasets__java__508.java.pth,./embeddings-bert/datasets__java__508.java.pth,train
4,datasets/cpp/math/fast_power.cpp,1,./embeddings-codebert/datasets__cpp__math__fast_power.cpp.pth,./embeddings-bert/datasets__cpp__math__fast_power.cpp.pth,train
5,datasets/java/466.java,3,./embeddings-codebert/datasets__java__466.java.pth,./embeddings-bert/datasets__java__466.java.pth,train
6,datasets/java/783.java,1,./embeddings-codebert/datasets__java__783.java.pth,./embeddings-bert/datasets__java__783.java.pth,train
7,datasets/java/1510.java,1,./embeddings-codebert/datasets__java__1510.java.pth,./embeddings-bert/datasets__java__1510.java.pth,train
8,datasets/c/sorting/insertion_sort.c,4,./embeddings-codebert/datasets__c__sorting__insertion_sort.c.pth,./embeddings-bert/datasets__c__sorting__insertion_sort.c.pth,train
9,datasets/java/686.java,4,./embeddings-codebert/datasets__java__686.java.pth,./embeddings-bert/datasets__java__686.java.pth,train
10,datasets/java/555.java,2,./embeddings-codebert/datasets__java__555.java.pth,./embeddings-bert/datasets__java__555.java.pth,train
11,datasets/java/568.java,2,./embeddings-codebert/datasets__java__568.java.pth,./embeddings-bert/datasets__java__568.java.pth,train
12,datasets/c/sorting/selection_sort.c,4,./embeddings-codebert/datasets__c__sorting__selection_sort.c.pth,./embeddings-bert/datasets__c__sorting__selection_sort.c.pth,train
13,datasets/java/488.java,4,./embeddings-codebert/datasets__java__488.java.pth,./embeddings-bert/datasets__java__488.java.pth,train
14,datasets/java/919.java,3,./embeddings-codebert/datasets__java__919.java.pth,./embeddings-bert/datasets__java__919.java.pth,train
15,datasets/java/304.java,4,./embeddings-codebert/datasets__java__304.java.pth,./embeddings-bert/datasets__java__304.java.pth,train
16,datasets/java/589.java,2,./embeddings-codebert/datasets__java__589.java.pth,./embeddings-bert/datasets__java__589.java.pth,train
